RT CONTINUATION
TUSERUSER MENTION
: MENTION
Claro ADVERB
que CONJUNCTION
uno PRONOUN
se PRONOUN
enamora VERB
y CONJUNCTION
también ADVERB
siente VERB
miedo NOUN
: PUNCTUATION
de ADPOSITION
que PRONOUN
al ADPOSITION
otro ADJECTIVE
se PRONOUN
le PRONOUN
acabe VERB
el DETERMINER
amor NOUN
, PUNCTUATION
o CONJUNCTION
que PRONOUN
se PRONOUN
vaya VERB
, PUNCTUATION
o CONJUNCTION
que PRONOUN
se PRONOUN
lo PRONOUN
lleven VERB

TUSERUSER MENTION
yo PRONOUN
MUERO VERB
😍 EMOTICON
ya ADVERB
hermosísimo ADJECTIVE
desde ADPOSITION
pequeño ADJECTIVE
... PUNCTUATION
te PRONOUN
quiero VERB
idoloo NOUN
gracias NOUN
de ADPOSITION
existir VERB
TURLURL URL

RT CONTINUATION
TUSERUSER MENTION
: MENTION
Coño NOUN
falta VERB
que PRONOUN
corten VERB
la DETERMINER
luz NOUN

RT CONTINUATION
TUSERUSER MENTION
: MENTION
Internet NOUN
, PUNCTUATION
" PUNCTUATION
azúcar NOUN
" PUNCTUATION
, PUNCTUATION
" PUNCTUATION
mar NOUN
" PUNCTUATION
, PUNCTUATION
" PUNCTUATION
vodka NOUN
" PUNCTUATION
, PUNCTUATION
" PUNCTUATION
arte NOUN
" PUNCTUATION
, PUNCTUATION
" PUNCTUATION
lente NOUN
" PUNCTUATION
, PUNCTUATION
" PUNCTUATION
lavaplatos NOUN
" PUNCTUATION
son VERB
palabras NOUN
ambiguas ADJECTIVE
. PUNCTUATION
Pueden VERB
ser VERB
nombres NOUN
femeninos ADJECTIVE
o CONJUNCTION
ma ADJECTIVE
… PUNCTUATION

Cosculluela NOUN
Dice VERB
: PUNCTUATION
No ADVERB
Soy VERB
El DETERMINER
Malo NOUN
Del ADPOSITION
Reggaetón NOUN
TURLURL URL
Unete VERB
Aqui ADVERB
TUSERUSER MENTION

Porque CONJUNCTION
el DETERMINER
